Vuosi	Nimi	Miss	PP	Kolme	Lehd	Yleiso	Ika	Pituus	Paino	PI	Rinta	Vyot	Lantio	R-V	L-V	R-L	VRS	VLS	Hius	Asuinp	Nro	Turku	Hki
2012	Sanna-Kaisa Saari	0	0	0	0	0	24	177	52	16,6	88	62	88	26	26	0	0,70	0,70	0	0	1	1	0
2013	Elina Leskinen	0	0	0	0	0	21	170	58	20,1	88	65	90	23	25	-2	0,74	0,72	1	0	0	0	1
2013	Neea Poutanen	0	0	0	0	0	18	172	57	19,3	88	68	93	20	25	-5	0,77	0,73	0	0	0	0	0
2013	Lotta Hintsa	1	0	1	1	0	24	168	52	18,4	86	61	89	25	28	-3	0,71	0,69	1	1	0	0	0
2013	Laura Ahola	0	0	0	0	1	24	171	52	17,8	88	64	89	24	25	-1	0,73	0,72	1	0	0	0	0
2013	Johanna Ahlbäck	0	0	0	0	0	24	170	53	18,3	89	64	95	25	31	-6	0,72	0,67	0	0	0	1	0
2013	Maija Kerisalmi	0	1	1	0	0	19	177	60	19,2	90	66	94	24	28	-4	0,73	0,70	1	0	1	0	0
2013	Mona Virtanen	0	0	0	0	0	24	168	53	18,8	84	64	91	20	27	-7	0,76	0,70	0	0	1	1	0
2013	Helianna Ylimaula	0	1	1	0	0	23	169	52	18,2	85	66	93	19	27	-8	0,78	0,71	0	0	1	0	0
2013	Katariina Suuniitty	0	0	0	0	0	22	175	57	18,6	89	64	90	25	26	-1	0,72	0,71	1	2	1	0	0
2013	Sara Jauhiainen	0	0	0	0	0	20	171	52	17,8	80	63	86	17	23	-6	0,79	0,73	0	2	1	0	0
2014	Jasmin Lahtinen	0	0	0	0	0	22	174	60	19,8	87	64	93	23	29	-6	0,74	0,69	0	0	0	0	1
2014	Lotta Heikkilä	0	0	0	0	0	21	175	62	20,2	89	68	100	21	32	-11	0,76	0,68	0	0	0	0	0
2014	Milla Romppainen	0	1	1	0	0	21	174	53	17,5	80	61	93	19	32	-13	0,76	0,66	1	1	0	0	0
2014	Bea Toivonen	1	0	1	0	0	21	179	59	18,4	84	66	97	18	31	-13	0,79	0,68	1	1	0	0	0
2014	Tuulia Paadar	0	0	0	0	0	21	169	55	19,3	91	64	92	27	28	-1	0,70	0,70	0	2	0	0	0
2014	Emilia Seppänen	0	0	0	0	0	20	175	59	19,3	87	67	95	20	28	-8	0,77	0,71	0	1	1	0	0
2014	Saana Mella	0	0	0	0	0	22	172	56	18,9	90	65	93	25	28	-3	0,72	0,70	1	0	1	0	0
2014	Krista Haapalainen	0	1	1	0	0	24	173	60	20,0	87	65	94	22	29	-7	0,75	0,69	1	0	1	0	1
2014	Rosanne Parikka	0	0	0	1	1	21	167	52	18,6	84	64	92	20	28	-8	0,76	0,70	1	0	1	1	0
2014	Aino Siekkinen	0	0	0	0	0	19	173	55	18,4	86	65	92	21	27	-6	0,76	0,71	1	0	1	0	0
2015	Rosamaria Ryyti	1	0	1	0	0	20	178	63	19,9	86	65	96	21	31	-10	0,76	0,68	1	2	0	0	0
2015	Anna Korhonen	0	0	0	0	0	23	169	56	19,6	85	65	93	20	28	-8	0,76	0,70	1	1	0	0	0
2015	Saara Ahlberg	0	1	1	0	0	19	174	58	19,2	91	65	91	26	26	0	0,71	0,71	0	0	0	0	0
2015	Inka Hyvärinen	0	0	0	0	0	24	166	55	20,0	88	63	91	25	28	-3	0,72	0,69	1	0	0	1	0
2015	Monica Landen	0	0	0	0	0	22	178	60	18,9	85	64	94	21	30	-9	0,75	0,68	1	0	0	1	0
2015	Iina Immonen	0	0	0	0	0	24	177	55	17,6	89	65	90	24	25	-1	0,73	0,72	0	0	1	0	1
2015	Rita Jokinen	0	0	0	0	1	21	176	63	20,3	90	64	92	26	28	-2	0,71	0,70	0	1	1	0	0
2015	Carita Pesonen	0	0	0	0	0	24	172	54	18,3	86	63	93	23	30	-7	0,73	0,68	1	0	1	0	0
2015	Carola Miller	0	1	1	0	0	23	181	59	18,0	93	63	95	30	32	-2	0,68	0,66	0	0	1	0	1
2015	Heidi Ylipietila	0	0	0	1	0	23	175	56	18,3	88	63	95	25	32	-7	0,72	0,66	1	0	1	0	0
2016	Jenna Ruohola	NA	NA	NA	NA	NA	23	168	52	NA	80	60	90	NA	NA	NA	NA	NA	1	0	0	0	1
2016	Shirly Karvinen	NA	NA	NA	NA	NA	23	170	55	NA	85	67	91	NA	NA	NA	NA	NA	0	0	0	0	1
2016	Emilia Seppänen	NA	NA	NA	NA	NA	22	176	57	NA	87	66	94	NA	NA	NA	NA	NA	1	0	0	0	1
2016	Elina Hoiska	NA	NA	NA	NA	NA	22	175	60	NA	90	69	98	NA	NA	NA	NA	NA	0	1	0	0	0
2016	Heta Sallinen	NA	NA	NA	NA	NA	21	171	57	NA	89	63	96	NA	NA	NA	NA	NA	1	0	0	1	0
2016	Iris Ojalammi	NA	NA	NA	NA	NA	22	172	54	NA	86	66	92	NA	NA	NA	NA	NA	1	0	1	0	0
2016	Esmi Valen	NA	NA	NA	NA	NA	23	171	56	NA	84	65	93	NA	NA	NA	NA	NA	1	0	1	0	0
2016	Laura Mononen	NA	NA	NA	NA	NA	20	174	57	NA	93	67	91	NA	NA	NA	NA	NA	1	0	1	1	0
2016	Elli-Noora Koskela	NA	NA	NA	NA	NA	22	180	62	NA	88	67	97	NA	NA	NA	NA	NA	1	1	1	0	0
2016	Samir Omer	NA	NA	NA	NA	NA	20	178	57	NA	90	66	96	NA	NA	NA	NA	NA	0	0	1	0	1
